#  Arizona Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
200702,46.7,2.0
200703,54.5,5.0
200704,59.3,2.6
200705,68.4,3.4
200706,77.3,2.9
200707,82.0,2.3
200708,80.5,2.7
200709,73.7,1.7
200710,62.4,1.4
200711,55.3,6.1
200712,39.9,-1.6
200801,39.8,-0.9
200802,45.0,0.3
200803,51.8,2.3
200804,58.0,1.3
200805,63.6,-1.4
200806,77.3,2.9
200807,80.4,0.7
200808,79.3,1.5
200809,73.6,1.6
200810,62.9,1.9
200811,53.3,4.1
200812,42.4,0.9
200901,45.2,4.5
200902,46.6,1.9
200903,52.5,3.0
200904,57.0,0.3
200905,70.8,5.8
200906,73.0,-1.4
200907,82.8,3.1
200908,79.7,1.9
200909,74.1,2.1
200910,59.4,-1.6
200911,52.9,3.7
200912,39.0,-2.5
201001,42.2,1.5
201002,44.3,-0.4
201003,49.2,-0.3
201004,56.1,-0.6
201005,63.1,-1.9
201006,75.9,1.5
201007,81.8,2.1
201008,79.0,1.2
201009,75.4,3.4
201010,62.7,1.7
201011,48.3,-0.9
201012,46.7,5.2
201101,41.5,0.8
201102,41.7,-3.0
201103,53.3,3.8
201104,58.9,2.2
201105,63.2,-1.8
201106,75.7,1.3
201107,80.8,1.1
201108,82.2,4.4
201109,74.6,2.6
201110,62.8,1.8
201111,49.4,0.2
201112,39.9,-1.6
201201,45.3,4.6
201202,45.6,0.9
201203,51.6,2.1
201204,60.6,3.9
201205,69.3,4.3
201206,78.7,4.3
201207,79.9,0.2
201208,80.5,2.7
201209,73.7,1.7
201210,63.8,2.8
201211,53.8,4.6
201212,42.4,0.9
201301,38.6,-2.1
201302,42.2,-2.5
201303,54.8,5.3
201304,59.4,2.7
201305,67.4,2.4
201306,79.5,5.1
201307,81.0,1.3
201308,78.5,0.7
201309,72.4,0.4
201310,58.8,-2.2
201311,51.3,2.1
201312,41.5,0.0
201401,46.5,5.8
201402,50.0,5.3
201403,53.9,4.4
201404,59.1,2.4
201405,66.8,1.8
201406,77.7,3.3
201407,81.4,1.7
201408,76.5,-1.3
201409,74.2,2.2
201410,64.9,3.9
201411,51.7,2.5
201412,44.3,2.8
201501,45.1,4.4
201502,52.0,7.3
201503,56.3,6.8
201504,58.4,1.7
201505,62.9,-2.1
201506,78.4,4.0
201507,78.6,-1.1
201508,80.6,2.8
201509,75.0,3.0
201510,64.5,3.5
201511,48.3,-0.9
201512,40.9,-0.6
201601,41.8,1.1
201602,50.6,5.9
201603,54.9,5.4
201604,58.5,1.8
201605,64.6,-0.4
201606,80.3,5.9
201607,82.4,2.7
201608,77.5,-0.3
201609,71.6,-0.4
201610,66.1,5.1
201611,53.1,3.9
201612,44.7,3.2
201701,42.3,1.6
201702,49.4,4.7
201703,56.6,7.1
201704,59.9,3.2
201705,66.1,1.1
201706,79.8,5.4
201707,81.5,1.8
201708,79.1,1.3
201709,72.4,0.4
201710,65.1,4.1
201711,57.6,8.4
201712,46.6,5.1
201801,47.6,6.9
201802,46.7,2.0
201803,52.3,2.8
201804,62.9,6.2
201805,68.5,3.5
201806,78.6,4.2
201807,82.3,2.6
201808,80.2,2.4
201809,76.0,4.0
201810,59.9,-1.1
201811,49.4,0.2
201812,42.8,1.3
201901,42.4,1.7
201902,40.9,-3.8
201903,51.7,2.2
201904,60.3,3.6
201905,60.7,-4.3
201906,75.2,0.8
201907,81.9,2.2
201908,81.9,4.1
201909,73.8,1.8
201910,60.0,-1.0
201911,52.1,2.9
201912,42.2,0.7
202001,43.7,3.0
202002,45.9,1.2
202003,51.0,1.5
202004,59.3,2.6
202005,70.5,5.5
202006,76.8,2.4
202007,82.8,3.1
202008,84.1,6.3
202009,75.6,3.6
202010,66.2,5.2
202011,53.5,4.3
202012,42.0,0.5
202101,42.6,1.9
202102,46.5,1.8
202103,49.4,-0.1
202104,61.2,4.5
202105,67.9,2.9
202106,80.6,6.2
202107,81.4,1.7
202108,79.5,1.7
202109,74.8,2.8
202110,59.9,-1.1
202111,55.8,6.6
202112,45.6,4.1
202201,43.5,2.8
202202,44.0,-0.7
202203,51.8,2.3
202204,60.5,3.8
202205,68.6,3.6
202206,78.6,4.2
202207,82.2,2.5
202208,79.0,1.2
202209,75.9,3.9
202210,61.8,0.8
202211,46.1,-3.1
202212,42.8,1.3
