#  Kentucky Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
201005,-0.50,-0.44
201006,-0.60,-0.63
201007,-0.63,-0.45
201008,-0.89,-0.72
201009,-1.50,-1.32
201010,-1.97,-1.86
201011,-1.77,-1.54
201012,-1.89,-1.77
201101,-2.22,-2.13
201102,0.37,0.46
201103,0.52,0.63
201104,3.35,3.46
201105,3.81,3.87
201106,3.85,3.82
201107,3.11,3.29
201108,2.19,2.36
201109,3.00,3.18
201110,3.01,3.12
201111,4.09,4.32
201112,4.09,4.21
201201,-0.10,-0.01
201202,-0.64,-0.55
201203,-1.15,-1.04
201204,-1.80,-1.69
201205,-1.90,-1.84
201206,-2.66,-2.69
201207,-2.47,-2.29
201208,-2.59,-2.42
201209,0.98,1.16
201210,1.19,1.30
201211,0.51,0.74
201212,0.90,1.02
201301,1.28,1.37
201302,0.65,0.74
201303,0.83,0.94
201304,1.08,1.19
201305,0.98,1.04
201306,1.70,1.67
201307,2.51,2.69
201308,2.69,2.86
201309,2.68,2.86
201310,3.05,3.16
201311,3.10,3.33
201312,3.66,3.78
201401,2.82,2.91
201402,2.85,2.94
201403,2.22,2.33
201404,2.79,2.90
201405,2.19,2.25
201406,1.86,1.83
201407,1.53,1.71
201408,2.05,2.22
201409,1.46,1.64
201410,2.54,2.65
201411,2.36,2.59
201412,2.03,2.15
201501,1.24,1.33
201502,1.03,1.12
201503,1.51,1.62
201504,2.86,2.97
201505,1.87,1.93
201506,2.09,2.06
201507,3.85,4.03
201508,3.54,3.71
201509,3.06,3.24
201510,3.37,3.48
201511,3.40,3.63
201512,3.80,3.92
201601,2.81,2.90
201602,2.92,3.01
201603,2.21,2.32
201604,1.71,1.82
201605,2.17,2.23
201606,1.72,1.69
201607,3.02,3.20
201608,3.31,3.48
201609,-0.46,-0.28
201610,-1.24,-1.13
201611,-1.88,-1.65
201612,-1.19,-1.07
201701,-1.08,-0.99
201702,-1.75,-1.66
201703,-1.71,-1.60
201704,-1.70,-1.59
201705,0.55,0.61
201706,0.90,0.87
201707,0.89,1.07
201708,1.28,1.45
201709,1.71,1.89
201710,2.75,2.86
201711,2.36,2.59
201712,1.95,2.07
201801,1.32,1.41
201802,2.84,2.93
201803,2.74,2.85
201804,2.80,2.91
201805,2.33,2.39
201806,2.74,2.71
201807,2.42,2.60
201808,2.69,2.86
201809,4.16,4.34
201810,4.18,4.29
201811,4.93,5.16
201812,5.06,5.18
201901,4.77,4.86
201902,6.13,6.22
201903,5.20,5.31
201904,4.86,4.97
201905,4.20,4.26
201906,5.35,5.32
201907,5.11,5.29
201908,4.63,4.80
201909,2.72,2.90
201910,3.65,3.76
201911,3.87,4.10
201912,4.25,4.37
202001,3.89,3.98
202002,4.37,4.46
202003,4.44,4.55
202004,4.42,4.53
202005,4.48,4.54
202006,4.45,4.42
202007,4.22,4.40
202008,4.54,4.71
202009,4.48,4.66
202010,5.06,5.17
202011,4.34,4.57
202012,3.89,4.01
202101,3.53,3.62
202102,3.51,3.60
202103,3.68,3.79
202104,2.95,3.06
202105,2.48,2.54
202106,2.56,2.53
202107,3.09,3.27
202108,3.54,3.71
202109,3.70,3.88
202110,4.15,4.26
202111,3.61,3.84
202112,3.26,3.38
202201,3.36,3.45
202202,3.93,4.02
202203,2.93,3.04
202204,2.78,2.89
202205,2.52,2.58
202206,1.68,1.65
202207,2.75,2.93
202208,2.94,3.11
202209,-0.42,-0.24
202210,-0.75,-0.64
202211,-1.10,-0.87
202212,-1.11,-0.99
