#  Connecticut Palmer Drought Severity Index (PDSI)
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
200803,2.51,2.52
200804,1.92,1.91
200805,1.34,1.49
200806,1.41,1.58
200807,1.90,2.01
200808,1.89,1.90
200809,3.24,3.23
200810,2.92,2.90
200811,2.50,2.56
200812,3.21,3.34
200901,-0.23,-0.15
200902,-0.97,-0.82
200903,-1.50,-1.49
200904,-1.53,-1.54
200905,-1.47,-1.32
200906,1.19,1.36
200907,3.02,3.13
200908,2.73,2.74
200909,1.95,1.94
200910,2.58,2.56
200911,1.76,1.82
200912,2.10,2.23
201001,1.63,1.71
201002,2.05,2.20
201003,3.59,3.60
201004,-1.11,-1.12
201005,-1.52,-1.37
201006,-1.68,-1.51
201007,-1.91,-1.80
201008,-2.12,-2.11
201009,-2.54,-2.55
201010,0.32,0.30
201011,-0.35,-0.29
201012,0.22,0.35
201101,0.08,0.16
201102,0.37,0.52
201103,0.50,0.51
201104,0.85,0.84
201105,0.90,1.05
201106,1.60,1.77
201107,0.82,0.93
201108,2.99,3.00
201109,3.80,3.79
201110,4.13,4.11
201111,-0.29,-0.23
201112,-0.14,-0.01
201201,-0.41,-0.33
201202,-1.38,-1.23
201203,-2.55,-2.54
201204,-2.82,-2.83
201205,-2.78,-2.63
201206,-2.33,-2.16
201207,-2.14,-2.03
201208,-2.07,-2.06
201209,-1.50,-1.51
201210,-1.14,-1.16
201211,-2.01,-1.95
201212,-1.60,-1.47
201301,-2.09,-2.01
201302,-1.68,-1.53
201303,-2.12,-2.11
201304,-2.88,-2.89
201305,0.07,0.22
201306,2.38,2.55
201307,-0.15,-0.04
201308,-0.16,-0.15
201309,-0.47,-0.48
201310,-1.28,-1.30
201311,-1.52,-1.46
201312,-1.43,-1.30
201401,-1.59,-1.51
201402,-1.32,-1.17
201403,-1.05,-1.04
201404,-0.86,-0.87
201405,-0.60,-0.45
201406,-1.05,-0.88
201407,-0.69,-0.58
201408,-0.94,-0.93
201409,-1.71,-1.72
201410,-1.48,-1.50
201411,-1.42,-1.36
201412,-1.01,-0.88
201501,-0.98,-0.90
201502,-1.41,-1.26
201503,-1.53,-1.52
201504,-1.89,-1.90
201505,-2.87,-2.72
201506,-1.81,-1.64
201507,-2.00,-1.89
201508,-2.57,-2.56
201509,-2.72,-2.73
201510,-2.74,-2.76
201511,-3.43,-3.37
201512,-3.45,-3.32
201601,-3.61,-3.53
201602,-2.46,-2.31
201603,-3.12,-3.11
201604,-3.27,-3.28
201605,-3.24,-3.09
201606,-3.66,-3.49
201607,-3.74,-3.63
201608,-3.85,-3.84
201609,-4.33,-4.34
201610,-4.12,-4.14
201611,-4.30,-4.24
201612,-4.08,-3.95
201701,-3.72,-3.64
201702,-3.87,-3.72
201703,-3.67,-3.66
201704,-3.31,-3.32
201705,-2.55,-2.40
201706,-2.41,-2.24
201707,-1.95,-1.84
201708,-2.18,-2.17
201709,-2.63,-2.64
201710,-1.29,-1.31
201711,-1.93,-1.87
201712,-2.23,-2.10
201801,0.05,0.13
201802,0.87,1.02
201803,0.54,0.55
201804,1.06,1.05
201805,-0.68,-0.53
201806,-0.67,-0.50
201807,0.36,0.47
201808,0.68,0.69
201809,1.87,1.86
201810,2.24,2.22
201811,3.30,3.36
201812,3.31,3.44
201901,3.69,3.77
201902,3.23,3.38
201903,2.46,2.47
201904,3.24,3.23
201905,3.13,3.28
201906,2.66,2.83
201907,2.41,2.52
201908,2.04,2.05
201909,1.13,1.12
201910,1.92,1.90
201911,1.41,1.47
201912,2.14,2.27
202001,-0.56,-0.48
202002,-0.53,-0.38
202003,-0.74,-0.73
202004,-0.20,-0.21
202005,-0.61,-0.46
202006,-1.11,-0.94
202007,-1.60,-1.49
202008,-2.31,-2.30
202009,-2.81,-2.82
202010,-2.31,-2.33
202011,-2.22,-2.16
202012,-1.22,-1.09
202101,-1.62,-1.54
202102,-1.52,-1.37
202103,-1.97,-1.96
202104,-2.26,-2.27
202105,-1.60,-1.45
202106,-2.19,-2.02
202107,1.81,1.92
202108,2.04,2.05
202109,3.10,3.09
202110,3.51,3.49
202111,-0.65,-0.59
202112,-1.23,-1.10
202201,-1.47,-1.39
202202,-0.93,-0.78
202203,-1.37,-1.36
202204,-1.05,-1.06
202205,-1.56,-1.41
202206,-1.56,-1.39
202207,-2.22,-2.11
202208,-2.92,-2.91
202209,-2.16,-2.17
202210,-1.75,-1.77
202211,-1.99,-1.93
202212,-1.44,-1.31
