#  Connecticut Precipitation
# Units: Inches
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
199701,3.91,0.18
199702,2.07,-1.21
199703,4.11,-0.08
199704,4.44,0.31
199705,3.38,-0.55
199706,1.93,-1.77
199707,3.82,-0.09
199708,6.08,1.85
199709,1.45,-2.54
199710,1.83,-1.84
199711,6.41,2.29
199712,3.25,-0.75
199801,4.67,0.94
199802,3.97,0.69
199803,6.10,1.91
199804,4.49,0.36
199805,5.86,1.93
199806,7.42,3.72
199807,3.62,-0.29
199808,2.46,-1.77
199809,2.83,-1.16
199810,5.07,1.40
199811,2.32,-1.80
199812,1.27,-2.73
199901,7.30,3.57
199902,3.73,0.45
199903,5.42,1.23
199904,1.35,-2.78
199905,4.33,0.40
199906,0.85,-2.85
199907,2.42,-1.49
199908,2.90,-1.33
199909,10.39,6.40
199910,4.48,0.81
199911,3.21,-0.91
199912,2.77,-1.23
200001,3.45,-0.28
200002,2.59,-0.69
200003,4.11,-0.08
200004,5.02,0.89
200005,4.49,0.56
200006,6.22,2.52
200007,6.23,2.32
200008,3.42,-0.81
200009,4.14,0.15
200010,1.14,-2.53
200011,3.71,-0.41
200012,4.22,0.22
200101,2.45,-1.28
200102,2.56,-0.72
200103,7.68,3.49
200104,1.59,-2.54
200105,4.11,0.18
200106,6.40,2.70
200107,2.19,-1.72
200108,3.84,-0.39
200109,3.93,-0.06
200110,1.26,-2.41
200111,1.08,-3.04
200112,2.45,-1.55
200201,1.94,-1.79
200202,1.67,-1.61
200203,4.12,-0.07
200204,3.75,-0.38
200205,5.21,1.28
200206,5.03,1.33
200207,2.59,-1.32
200208,3.62,-0.61
200209,4.82,0.83
200210,4.30,0.63
200211,5.68,1.56
200212,4.69,0.69
200301,2.65,-1.08
200302,3.82,0.54
200303,4.30,0.11
200304,3.28,-0.85
200305,4.72,0.79
200306,7.18,3.48
200307,3.01,-0.90
200308,5.04,0.81
200309,7.70,3.71
200310,6.07,2.40
200311,3.17,-0.95
200312,5.18,1.18
200401,1.89,-1.84
200402,2.17,-1.11
200403,2.97,-1.22
200404,7.02,2.89
200405,3.59,-0.34
200406,1.99,-1.71
200407,4.54,0.63
200408,5.52,1.29
200409,8.39,4.40
200410,2.21,-1.46
200411,3.95,-0.17
200412,4.37,0.37
200501,4.85,1.12
200502,2.49,-0.79
200503,4.01,-0.18
200504,5.50,1.37
200505,2.59,-1.34
200506,2.39,-1.31
200507,3.62,-0.29
200508,2.05,-2.18
200509,2.39,-1.60
200510,15.92,12.25
200511,4.64,0.52
200512,4.23,0.23
200601,5.91,2.18
200602,2.48,-0.80
200603,0.72,-3.47
200604,4.84,0.71
200605,7.17,3.24
200606,9.21,5.51
200607,3.15,-0.76
200608,5.26,1.03
200609,3.00,-0.99
200610,7.06,3.39
200611,6.08,1.96
200612,2.13,-1.87
200701,3.43,-0.30
200702,2.01,-1.27
200703,5.24,1.05
200704,8.57,4.44
200705,1.88,-2.05
200706,3.54,-0.16
200707,4.94,1.03
200708,2.25,-1.98
200709,1.79,-2.20
200710,3.76,0.09
200711,3.16,-0.96
200712,4.97,0.97
200801,2.45,-1.28
200802,8.34,5.06
200803,5.51,1.32
200804,3.58,-0.55
200805,2.66,-1.27
200806,4.69,0.99
200807,5.66,1.75
200808,3.95,-0.28
200809,9.06,5.07
200810,3.04,-0.63
200811,3.67,-0.45
200812,6.92,2.92
200901,3.00,-0.73
200902,1.48,-1.80
200903,2.35,-1.84
200904,3.95,-0.18
200905,3.91,-0.02
200906,6.94,3.24
200907,8.82,4.91
200908,3.76,-0.47
200909,1.98,-2.01
200910,6.08,2.41
200911,2.74,-1.38
200912,5.49,1.49
201001,2.94,-0.79
201002,4.51,1.23
201003,9.95,5.76
201004,1.70,-2.43
201005,2.94,-0.99
201006,3.36,-0.34
201007,3.53,-0.38
201008,3.58,-0.65
201009,2.62,-1.37
201010,5.47,1.80
201011,3.38,-0.74
201012,4.56,0.56
201101,3.36,-0.37
201102,3.84,0.56
201103,4.74,0.55
201104,5.52,1.39
201105,4.87,0.94
201106,6.15,2.45
201107,2.17,-1.74
201108,11.56,7.33
201109,7.78,3.79
201110,5.60,1.93
201111,3.57,-0.55
201112,4.53,0.53
201201,2.86,-0.87
201202,1.09,-2.19
201203,1.30,-2.89
201204,3.00,-1.13
201205,3.94,0.01
201206,4.30,0.60
201207,3.78,-0.13
201208,3.85,-0.38
201209,5.41,1.42
201210,4.36,0.69
201211,0.80,-3.32
201212,4.70,0.70
201301,1.72,-2.01
201302,3.62,0.34
201303,2.35,-1.84
201304,1.49,-2.64
201305,4.47,0.54
201306,10.60,6.90
201307,3.67,-0.24
201308,3.92,-0.31
201309,2.84,-1.15
201310,1.36,-2.31
201311,3.70,-0.42
201312,3.65,-0.35
201401,2.80,-0.93
201402,3.42,0.14
201403,4.22,0.03
201404,4.38,0.25
201405,4.79,0.86
201406,2.41,-1.29
201407,4.84,0.93
201408,3.05,-1.18
201409,1.39,-2.60
201410,4.67,1.00
201411,4.16,0.04
201412,4.88,0.88
201501,3.47,-0.26
201502,2.01,-1.27
201503,3.05,-1.14
201504,2.74,-1.39
201505,1.21,-2.72
201506,6.35,2.65
201507,2.81,-1.10
201508,2.14,-2.09
201509,3.62,-0.37
201510,3.31,-0.36
201511,2.23,-1.89
201512,4.14,0.14
201601,2.14,-1.59
201602,4.94,1.66
201603,2.16,-2.03
201604,2.86,-1.27
201605,3.33,-0.60
201606,1.78,-1.92
201607,3.32,-0.59
201608,3.70,-0.53
201609,1.92,-2.07
201610,3.88,0.21
201611,3.24,-0.88
201612,3.46,-0.54
201701,3.56,-0.17
201702,2.14,-1.14
201703,3.33,-0.86
201704,4.71,0.58
201705,5.35,1.42
201706,3.54,-0.16
201707,4.38,0.47
201708,2.62,-1.61
201709,2.30,-1.69
201710,8.26,4.59
201711,1.62,-2.50
201712,2.29,-1.71
201801,3.86,0.13
201802,5.28,2.00
201803,3.47,-0.72
201804,5.39,1.26
201805,2.67,-1.26
201806,3.79,0.09
201807,5.32,1.41
201808,5.68,1.45
201809,8.56,4.57
201810,4.99,1.32
201811,8.09,3.97
201812,5.06,1.06
201901,5.90,2.17
201902,3.01,-0.27
201903,2.76,-1.43
201904,7.32,3.19
201905,4.82,0.89
201906,3.42,-0.28
201907,4.20,0.29
201908,3.96,-0.27
201909,1.86,-2.13
201910,7.19,3.52
201911,2.87,-1.25
201912,6.60,2.60
202001,2.05,-1.68
202002,3.24,-0.04
202003,3.88,-0.31
202004,5.19,1.06
202005,2.69,-1.24
202006,2.47,-1.23
202007,3.06,-0.85
202008,2.43,-1.80
202009,2.16,-1.83
202010,5.31,1.64
202011,4.51,0.39
202012,6.38,2.38
202101,2.12,-1.61
202102,3.04,-0.24
202103,2.65,-1.54
202104,3.03,-1.10
202105,5.51,1.58
202106,1.99,-1.71
202107,9.35,5.44
202108,5.08,0.85
202109,8.19,4.20
202110,5.99,2.32
202111,1.99,-2.13
202112,2.13,-1.87
202201,2.59,-1.14
202202,4.08,0.80
202203,2.85,-1.34
202204,4.75,0.62
202205,2.66,-1.27
202206,3.45,-0.25
202207,2.08,-1.83
202208,2.60,-1.63
202209,6.23,2.24
202210,4.43,0.76
202211,3.09,-1.03
202212,5.03,1.03
